Bacterial pathway	full_name	cate_name	class_name
PWY-7383	"anaerobic energy metabolism (invertebrates, cytosol)"	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-6863	pyruvate fermentation to hexanol (engineered)	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
PROPFERM-PWY	L-alanine fermentation to propanoate and acetate	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-7385	"1,3-propanediol biosynthesis (engineered)"	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-7351	pyruvate fermentation to opines	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
TCA	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	Energy-Metabolism;Pathways	glycolysis
GLYOXYLATE-BYPASS	glyoxylate cycle	Energy-Metabolism;Pathways	glycolysis
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	Energy-Metabolism;Pathways	glycolysis
TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	Energy-Metabolism;Pathways	glycolysis
PWY66-400	PWY66.400_glycolysis_VI_.metazoan.	Glycolysis	glycolysis
PWY-6992	"1,5-anhydrofructose degradation"	Energy-Metabolism;Pathways	glycolysis
GLYCOLYSIS	glycolysis III (from glucose)	GLYCOLYSIS-VARIANTS;Energy-Metabolism;Pathways	glycolysis
PWY-5484	glycolysis II (from fructose 6-phosphate)	GLYCOLYSIS-VARIANTS;Energy-Metabolism;Pathways	glycolysis
PWY-1042	glycolysis IV (plant cytosol)	GLYCOLYSIS-VARIANTS;Energy-Metabolism;Pathways	glycolysis
PWY-5464	"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	Energy-Metabolism;Pathways	glycolysis
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	GLYCOLYSIS-VARIANTS;Energy-Metabolism;Pathways	glycolysis
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	Energy-Metabolism;Pathways	glycolysis
PWY-6313	serotonin degradation	HORMONE-DEG;Degradation;Pathways	hormone degradation
PWY-6342	noradrenaline and adrenaline degradation	HORMONE-DEG;Degradation;Pathways	hormone degradation
PWY-6030	serotonin and melatonin biosynthesis	HORMONE-SYN;Biosynthesis;Pathways	hormone biosynthesis
PWY-7654	"(8E,10E)-dodeca-8,10-dienol biosynthesis"	HORMONE-SYN;Biosynthesis;Pathways	hormone biosynthesis
PWY66-375	leukotriene biosynthesis	leukotriene biosynthesis	hormone biosynthesis
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Denitrification;Nitrogen Compounds Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY0-1533	methylphosphonate degradation I	Methylphosphonate-Degradation;Phosphorus-Compounds;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	Sulfate-Reduction;Sulfur-Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-4984	urea cycle	NITROGEN-DEG;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-6692	Fe(II) oxidation	Iron-Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-6748	nitrate reduction VII (denitrification)	Denitrification;Nitrogen Compounds Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-6641	superpathway of sulfolactate degradation	Sulfolactate-Degradation;Sulfur-Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	Sulfur-Oxidation;Sulfur-Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	Sulfite-Oxidation;Sulfur-Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY490-3	nitrate reduction VI (assimilatory)	Nitrate-Reduction;Nitrogen Compounds Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-5675	nitrate reduction V (assimilatory)	Nitrate-Reduction;Nitrogen Compounds Metabolism;Inorganic Nutrients Metabolism;Degradation/Utilization/Assimilation	inorganic nutrients metabolism
PWY-7399	methylphosphonate degradation II	methylphosphonate degradation II	inorganic nutrients metabolism
PWY-7007	methyl ketone biosynthesis (engineered)	Energy-Metabolism;Pathways	ketogenesis
PWY66-367	ketogenesis	OTHER-ENERGY;Energy-Metabolism;Pathways	ketogenesis
PWY-6829	tRNA methylation (yeast)	tRNA methylation (yeast)	macromolecule modification
PWY-7283	wybutosine biosynthesis	wybutosine biosynthesis	macromolecule modification
PPGPPMET-PWY	ppGpp biosynthesis	Metabolic-Regulators;Biosynthesis;Pathways	metabolic regulator biosynthesis
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	NAD-Metabolism;Cofactor-Biosynthesis;Biosynthesis	NAD metabolism
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	NAD-Metabolism;Cofactor-Biosynthesis;Biosynthesis	NAD metabolism
PWY-7245	superpathway NAD/NADP - NADH/NADPH interconversion (yeast)	NAD-Metabolism;Cofactor-Biosynthesis;Biosynthesis	NAD metabolism
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	NAD-Metabolism;Cofactor-Biosynthesis;Biosynthesis	NAD metabolism
PYRIDNUCSAL-PWY	NAD salvage pathway I	"NAD-SYN;NAD-Metabolism;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	NAD metabolism
NAD-BIOSYNTHESIS-II	NAD salvage pathway III	"NAD-SYN;NAD-Metabolism;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	NAD metabolism
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	"NAD-SYN;NAD-Metabolism;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	NAD metabolism
NADSYN-PWY	NAD de novo biosynthesis II (from tryptophan)	NAD de novo biosynthesis II (from tryptophan)	NAD metabolism
PWY-5381	pyridine nucleotide cycling (plants)	pyridine nucleotide cycling (plants)	NAD metabolism
PWY-1541	superpathway of taurine degradation	Taurine Degradation	inorganic nutrients metabolism
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	Purine-Nucleotide-De-Novo-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	Purine-Nucleotide-De-Novo-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis"	nucleosides and nucleotides biosynthesis
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	Purine-Nucleotide-De-Novo-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	Pyrimidine-Nucleotide-Salvage;Pyrimidine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	Guanosine-Deoxy-Denovo-Biosynthesis;Purine-Deoxyribonuc-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis"	nucleosides and nucleotides biosynthesis
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis"	nucleosides and nucleotides biosynthesis
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	Adenosine-Deoxy-Denovo-Bbiosynthesis;Purine-Deoxyribonuc-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	Pyrimidine-Nucleotide-Salvage;Pyrimidine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7221	guanosine ribonucleotides de novo biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis;Purine-Nucleotide-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis"	nucleosides and nucleotides biosynthesis
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis"	nucleosides and nucleotides biosynthesis
PWY-7208	superpathway of pyrimidine nucleobases salvage	Pyrimidine-Nucleotide-Salvage;Pyrimidine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn;Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	Purine-Nucleotide-De-Novo-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	AIR-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	AIR-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	AIR-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY66-409	superpathway of purine nucleotide salvage	Purine-Nucleotides-Salvage;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6609	adenine and adenosine salvage III	Adenine-Adenosine-Salvage;Purine-Nucleotides-Salvage;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY0-1479	tRNA processing	Nucleic-Acid-Processing;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	Purine-Nucleotide-De-Novo-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	Nucleic-Acid-Processing;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	Purine-Nucleotide-De-Novo-Biosynthesis;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6700	queuosine biosynthesis	Nucleic-Acid-Processing;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7199	pyrimidine deoxyribonucleosides salvage	Pyrimidine-Nucleotide-Salvage;Pyrimidine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	Pyrimidine-Nucleotide-Salvage;Pyrimidine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	Pyrimidine-Nucleotide-Salvage;Pyrimidine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-5686	UMP biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn;Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn;Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn;Nucleosides and Nucleotides Biosynthesis;Biosynthesis"	nucleosides and nucleotides biosynthesis
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP-Biosynthesis;Purine-Ribonuc-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7219	adenosine ribonucleotides de novo biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis;Purine-Nucleotide-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP-Biosynthesis;Purine-Ribonuc-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7224	purine deoxyribonucleosides salvage	Purine-Nucleotides-Salvage;PUR-NUC-SYN;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
PWY-7234	inosine-5'-phosphate biosynthesis III	IMP-Biosynthesis;Purine-Ribonuc-De-Novo-Biosynthesis;Purine Nucleotide Biosynthesis;Nucleosides and Nucleotides Biosynthesis;Biosynthesis	nucleosides and nucleotides biosynthesis
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	Adenosine-Nucleotides-Degradation;Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	Nucleosides and Nucleotides Degradation;Degradation;Pathways	nucleosides and nucleotides degradation
PWY0-1296	purine ribonucleosides degradation	Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-6353	purine nucleotides degradation II (aerobic)	Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-4361	S-methyl-5-thio-alpha;-D-ribose 1-phosphate degradation	"MTR-1P-Degradation;Methionine-Salvage,Nucleosides and Nucleotides Degradation;L-methionine Biosynthesis//Degradation/Utilization/Assimilation;Proteinogenic Amino Acids Biosynthesis;Amino Acids Biosynthesis"	nucleosides and nucleotides degradation
PWY-6606	guanosine nucleotides degradation II	Guanosine-Nucleotides-Degradation;Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-6595	superpathway of guanosine nucleotides degradation (plants)	Guanosine-Nucleotides-Degradation;Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-6608	guanosine nucleotides degradation III	Guanosine-Nucleotides-Degradation;Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-7185	UTP and CTP dephosphorylation I	UTP-CTP-Dephosphorylation;Pyrimidine-Ribonucleosides-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-7209	superpathway of pyrimidine ribonucleosides degradation	Pyrimidine-Base-Degradation;Pyrimidine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-5532	nucleoside and nucleotide degradation (archaea)	Nucleosides and Nucleotides Degradation;Degradation;Pathways	nucleosides and nucleotides degradation
PWY-5044	purine nucleotides degradation I (plants)	Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-6596	adenosine nucleotides degradation I	Adenosine-Nucleotides-Degradation;Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
P164-PWY	purine nucleobases degradation I (anaerobic)	Purine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	Pyrimidine-Degradation;Nucleosides and Nucleotides Degradation;Degradation/Utilization/Assimilation	nucleosides and nucleotides degradation
PWY-5656	mannosylglycerate biosynthesis I	Mannosylglycerate-Biosynthesis;Organic-solutes-Biosynthesis;Other Biosynthesis;Biosynthesis	metabolic regulator biosynthesis
PWY-6876	isopropanol biosynthesis (engineered)	Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-6785	hydrogen production VIII	Hydrogen-Production;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-6859	all-trans-farnesol biosynthesis	Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-7118	chitin degradation to ethanol	Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-5723	Rubisco shunt	Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-5741	ethylmalonyl-CoA pathway	Energy-Metabolism;Pathways	generation of precursor metabolite and energy
P221-PWY	octane oxidation	Other-Degradation;Degradation;Pathways	other degradation
PWY66-201	nicotine degradation IV	Nicotine-Degradation;Other-Degradation;Degradation/Utilization/Assimilation	other degradation
P621-PWY	nylon-6 oligomer degradation	Other-Degradation;Degradation;Pathways	other degradation
P161-PWY	acetylene degradation	Other-Degradation;Degradation;Pathways	fermentation
PWY-4061	glutathione-mediated detoxification I	Other-Degradation;Degradation;Pathways	other degradation
PENTOSE-P-PWY	pentose phosphate pathway	Pentose-Phosphate-Cycle;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	Pentose-Phosphate-Cycle;Energy-Metabolism;Pathways	generation of precursor metabolite and energy
PWY-7115	"C4 photosynthetic carbon assimilation cycle, NAD-ME type"	Photosynthesis;Energy-Metabolism;Pathways	photosynthesis
PWY-181	photorespiration	Photosynthesis;Energy-Metabolism;Pathways	photosynthesis
PHOTOALL-PWY	oxygenic photosynthesis	Photosynthesis;Energy-Metabolism;Pathways	photosynthesis
PWY-101	photosynthesis light reactions	Electron-Transfer;Energy-Metabolism;Pathways	photosynthesis
PWY-3781	aerobic respiration I (cytochrome c)	Electron-Transfer;Energy-Metabolism;Pathways	photosynthesis
PWY-241	"C4 photosynthetic carbon assimilation cycle, NADP-ME type"	Photosynthesis;Energy-Metabolism;Pathways	photosynthesis
PWY-7117	"C4 photosynthetic carbon assimilation cycle, PEPCK type"	Photosynthesis;Energy-Metabolism;Pathways	photosynthesis
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II	UDP-NAc-Glucosamine-Biosynthesis;Polyamine-Biosynthesis;Biosynthesis	polyamine biosynthesis
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	Polyamine-Biosynthesis;Biosynthesis;Pathways	polyamine biosynthesis
PWY-6565	superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis;Biosynthesis;Pathways	polyamine biosynthesis
PWY-6562	norspermidine biosynthesis	Polyamine-Biosynthesis;Biosynthesis;Pathways	polyamine biosynthesis
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	Polyamine-Biosynthesis;Biosynthesis;Pathways	polyamine biosynthesis
7ALPHADEHYDROX-PWY	7ALPHADEHYDROX.PWY_cholate_degradation_.bacteria._anaerobic.		polyamine biosynthesis
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	Polyamine-Biosynthesis;Biosynthesis;Pathways	polyamine biosynthesis
PWY-6305	putrescine biosynthesis IV	Putrescine-Biosynthesis;Polyamine-Biosynthesis;Biosynthesis	polyamine biosynthesis
URSIN-PWY	ureide biosynthesis	Polyamine-Biosynthesis;Biosynthesis;Pathways	polyamine biosynthesis
PWY-6834	spermidine biosynthesis III	Spermidine-Biosynthesis;Polyamine-Biosynthesis;Biosynthesis	polyamine biosynthesis
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	GGPP-Biosynthesis;Polyprenyl-Biosynthesis;Biosynthesis	polyprenyl biosynthesis
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	Polyprenyl-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	polyprenyl biosynthesis
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	GGPP-Biosynthesis;Polyprenyl-Biosynthesis;Biosynthesis	polyprenyl biosynthesis
PWY-6383	"mono-trans, poly-cis decaprenyl phosphate biosynthesis"	Polyprenyl-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	polyprenyl biosynthesis
PWY-6731	starch degradation III	Starch-Degradation;POLYSACCHARIDES-DEG;Degradation/Utilization/Assimilation	polysaccharides degradation
PWY-6737	starch degradation V	Starch-Degradation;POLYSACCHARIDES-DEG;Degradation/Utilization/Assimilation	polysaccharides degradation
PWY-6572	chondroitin sulfate degradation I (bacterial)	Glycosaminoglycan-Degradation;POLYSACCHARIDES-DEG;Degradation/Utilization/Assimilation	polysaccharides degradation
PWY-7456	mannan degradation	"POLYSACCHARIDES-DEG;Carbohydrates Degradation,Polymer-Degradation;Degradation/Utilization/Assimilation"	polysaccharides degradation
PWY-5941	glycogen degradation II	Glycogen-Degradation;POLYSACCHARIDES-DEG;Degradation/Utilization/Assimilation	polysaccharides degradation
PWY-6906	chitin derivatives degradation	Chitin-Degradation;POLYSACCHARIDES-DEG;Degradation/Utilization/Assimilation	polysaccharides degradation
PWY-6769	rhamnogalacturonan type I degradation I (fungi)	Rhamnogalacturonan-Degradation;POLYSACCHARIDES-DEG;Degradation/Utilization/Assimilation	polysaccharides degradation
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	"HEME-SYN;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	"HEME-SYN;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	"Chlorophyll-a-Biosynthesis;Chlorophyll-Biosynthesis;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
PWY-5531	"3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)"	"Chlorophyllide-a-Biosynthesis;Chlorophyll-Biosynthesis;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
CHLOROPHYLL-SYN	"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"	"Chlorophyllide-a-Biosynthesis;Chlorophyll-Biosynthesis;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
PWY-7159	"3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)"	"Chlorophyllide-a-Biosynthesis;Chlorophyll-Biosynthesis;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	"HEME-SYN;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
PWY-5918	superpathay of heme biosynthesis from glutamate	"HEME-SYN;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
PWY-5920	superpathway of heme biosynthesis from glycine	"HEME-SYN;Porphyrin Compounds Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	porphyrin compounds biosynthesis
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	"Ubiquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5838	superpathway of menaquinol-8 biosynthesis I	"Menaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	"Demethylmenaquinol-8-Biosynthesis;Demethylmenaquinone-Biosynthesis;Quinone-Biosynthesis;Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis;Biosynthesis"	quinone biosynthesis
